name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,scale,scale_updates
AUG2D,SCS-3.0,optimal,0.1376793384552002,25,1687406.2106635913,1687411.8,20200,30200,80000,57.469953,73.978139,0.1,0
AUG2DC,SCS-3.0,optimal,0.17038416862487793,25,1818361.345641473,1818368.1,20200,30200,80400,79.567649,84.069631,0.1,0
AUG2DCQP,SCS-3.0,optimal,4.41440486907959,1625,6498102.221815566,6498134.8,20200,30200,80400,71.69302,4333.473412,11.782286051922721,4
AUG2DQP,SCS-3.0,optimal,4.211197137832642,1675,6236964.4716918105,6237012.1,20200,30200,80000,76.295713,4126.791667,10.751066317489288,4
AUG3D,SCS-3.0,optimal,0.021513938903808594,25,554.0677516501187,554.06773,3873,4873,13092,11.176193,8.439621,0.1,0
AUG3DC,SCS-3.0,optimal,0.024363994598388672,25,771.2624603618979,771.26244,3873,4873,14292,12.712536,9.939353,0.1,0
AUG3DCQP,SCS-3.0,optimal,0.10088610649108887,250,993.2681055752532,993.36215,3873,4873,14292,12.539852,86.790912,8.058533700703345,2
AUG3DQP,SCS-3.0,optimal,0.07918095588684082,200,675.2358524822171,675.23767,3873,4873,13092,12.033863,65.296548,0.9956391774040215,1
BOYD1,SCS-3.0,max_iter_reached,1000.3962490558624,86025,-72571356.81720307,-61735220.0,93261,93279,745507,356.549359,1000011.581988,1e-06,2
BOYD2,SCS-3.0,max_iter_reached,1000.4700653553009,57700,3374.1411565465924,21.256767,93263,279794,517049,332.325397,1000099.147855,1e-06,2
CONT-050,SCS-3.0,optimal,1.6685049533843994,4450,-4.564942431520425,-4.5638509,2597,4998,17199,13.421405,1652.954577,0.004561807517130164,2
CONT-100,SCS-3.0,optimal,24.471901893615723,7250,-4.645711018830331,-4.6443979,10197,19998,69399,91.049112,24375.020406,0.00033292937597739,3
CONT-101,SCS-3.0,optimal,24.4700870513916,7500,0.1953062458004735,0.19552733,10197,20295,62496,97.197797,24367.323803,0.014033337270403382,7
CONT-200,SCS-3.0,optimal,27.078354835510254,1350,-4.731407139872292,-4.6848759,40397,79998,278799,723.168948,26327.657172,8.547759583960641e-05,4
CONT-201,SCS-3.0,optimal,152.4880599975586,7225,0.1922825314662372,0.19248337,40397,80595,249996,993.033669,151470.738674,0.0038529918109549083,11
CONT-300,SCS-3.0,optimal,383.1855890750885,7450,0.20132686057310256,0.19151232,90597,180895,562496,4456.125487,378671.298075,0.0006139773043794256,4
CVXQP1_L,SCS-3.0,optimal,259.4048869609833,18925,108659436.2585203,108704800.0,10000,15000,94966,3740.417185,255650.856311,387.09970899779086,5
CVXQP1_M,SCS-3.0,optimal,0.5108122825622559,2650,1087408.0168300895,1087511.6,1000,1500,9466,11.357771,497.541601,24.222962908865355,3
CVXQP1_S,SCS-3.0,optimal,0.033236026763916016,550,11590.68762986326,11590.718,100,150,920,0.355023,32.193587,49.34497964365131,3
CVXQP2_L,SCS-3.0,optimal,194.00552487373352,18250,81843204.14442016,81842458.0,10000,12500,87467,2403.529047,191591.743303,23.69843953631585,8
CVXQP2_M,SCS-3.0,optimal,0.2097618579864502,1250,820155.8448877014,820155.43,1000,1250,8717,7.055709,201.660941,123.386681567785,3
CVXQP2_S,SCS-3.0,optimal,0.0018699169158935547,150,8120.87882020529,8120.9405,100,125,846,0.326699,0.977652,2.444166729195789,1
CVXQP3_L,SCS-3.0,optimal,277.0394592285156,18150,115709152.32336378,115711100.0,10000,17500,102465,4254.868548,272771.098723,621.3872360374141,5
CVXQP3_M,SCS-3.0,optimal,1.8932297229766846,8575,1362211.2241010356,1362828.7,1000,1750,10215,12.090994,1880.047505,30.91628176569321,3
CVXQP3_S,SCS-3.0,optimal,0.02027130126953125,275,11942.960572629538,11943.432,100,175,994,17.257486,2.403704,1.9097387735863416,1
DPKLO1,SCS-3.0,optimal,0.0015707015991210938,25,0.3700962285858231,0.37009622,133,210,1785,0.672571,0.437284,0.1,0
DTOC3,SCS-3.0,optimal,1.962528944015503,1750,234.97992802050035,235.26248,14999,24997,64989,26.729448,1932.391288,0.0016520361331341107,3
DUAL1,SCS-3.0,optimal,0.0020751953125,25,0.03501204602875229,0.035012966,85,86,7201,0.689815,0.451044,0.1,0
DUAL2,SCS-3.0,optimal,0.0026068687438964844,25,0.033733676312259465,0.033733676,96,97,9112,1.054459,0.456144,0.1,0
DUAL3,SCS-3.0,optimal,0.030726194381713867,25,0.1357556789945298,0.13575584,111,112,12327,1.317945,28.21409,0.1,0
DUAL4,SCS-3.0,optimal,0.002531766891479492,25,0.7460833531149585,0.74609084,75,76,5673,0.913554,0.415461,0.1,0
DUALC1,SCS-3.0,optimal,0.002501249313354492,150,6154.784589951796,6155.2508,9,224,2025,0.56261,1.247515,0.1,0
DUALC2,SCS-3.0,optimal,0.030484914779663086,75,3551.4255316109998,3551.3077,7,236,1659,28.9087,0.765465,0.1,0
DUALC5,SCS-3.0,optimal,0.0024569034576416016,50,427.16328243919867,427.23233,8,286,2296,0.555396,0.797414,0.1,0
DUALC8,SCS-3.0,optimal,0.0024340152740478516,50,18309.27709061983,18309.359,8,511,4096,0.863683,0.987004,0.1,0
EXDATA,SCS-3.0,optimal,3.634371042251587,525,-141.7290864781352,-141.84343,3000,6001,2260500,1267.559515,2215.950484,0.1,0
GENHS28,SCS-3.0,optimal,0.01675701141357422,25,0.9271736846535605,0.92717369,10,18,62,0.139515,16.014852,0.1,0
GOULDQP2,SCS-3.0,optimal,0.025385141372680664,625,0.0001843308958856692,0.00018427534,699,1048,2791,1.107527,23.609464,0.0009025770073671965,3
GOULDQP3,SCS-3.0,optimal,0.0030748844146728516,25,1.957971506897593,2.062784,699,1048,3838,1.241837,1.064248,0.1,0
HS118,SCS-3.0,optimal,0.0011489391326904297,300,664.6871291625171,664.82045,15,32,69,0.171933,0.524558,0.03071661894525729,1
HS21,SCS-3.0,optimal,0.0004868507385253906,75,-99.96005219950251,-99.96,2,3,6,0.115021,0.082752,0.1,0
HS268,SCS-3.0,optimal,0.032247066497802734,25,0.2102842412314203,5.7310705e-07,5,10,55,0.096152,31.483736,0.1,0
HS35,SCS-3.0,optimal,0.0007879734039306641,25,0.11109217927108972,0.11111111,3,4,13,0.102126,0.129964,0.1,0
HS35MOD,SCS-3.0,optimal,0.0008261203765869141,25,0.25000015390675756,0.25,3,4,13,0.109074,0.115727,0.1,0
HS51,SCS-3.0,optimal,0.0007171630859375,25,8.881784197001252e-16,8.8817842e-16,5,8,21,0.108057,0.077057,0.1,0
HS52,SCS-3.0,optimal,0.03133702278137207,25,5.326647564985748,5.3266476,5,8,21,0.103034,30.485791,0.1,0
HS53,SCS-3.0,optimal,0.0008568763732910156,25,4.093023242498406,4.0930233,5,8,21,0.102776,0.131819,0.1,0
HS76,SCS-3.0,optimal,0.0008409023284912109,50,-4.6818545065351245,-4.6818182,4,7,22,0.109077,0.084086,0.1,0
HUES-MOD,SCS-3.0,optimal,5.30156397819519,11275,34824803.8446834,34824690.0,10000,10002,40000,14.218116,5284.548125,0.005160524733546566,2
HUESTIS,SCS-3.0,optimal,9.524168014526367,21000,348231042517.7933,348246900000.0,10000,10002,40000,20.395907,9500.218553,939.4057718626253,3
KSIP,SCS-3.0,optimal,0.01796889305114746,75,0.5753088616553976,0.57579794,20,1021,19938,11.401865,5.74818,0.1,0
LASER,SCS-3.0,optimal,0.24268698692321777,3425,2410603.6640829192,2409601.4,1002,2002,9462,2.287902,239.257914,15.351535700745693,10
LISWET1,SCS-3.0,optimal,0.2023909091949463,225,24.989767659315476,36.122402,10002,20002,50004,21.702068,177.658383,2.1901814969486093,2
LISWET10,SCS-3.0,optimal,0.23175597190856934,225,24.99031762336108,49.485785,10002,20002,50004,27.732519,200.438823,2.1417914918201104,2
LISWET11,SCS-3.0,optimal,0.21957802772521973,225,24.9877869686361,49.523957,10002,20002,50004,25.005073,191.31161,2.1456501493372704,2
LISWET12,SCS-3.0,optimal,0.2167057991027832,225,24.987464715414262,1736.9274,10002,20002,50004,23.551728,189.587671,2.1458552839828036,2
LISWET2,SCS-3.0,optimal,0.21391081809997559,225,24.983899466714547,24.998076,10002,20002,50004,23.063207,187.720006,2.276452679532805,2
LISWET3,SCS-3.0,optimal,0.2027268409729004,200,24.988349478491727,25.00122,10002,20002,50004,25.722339,173.726444,0.5146808991320396,1
LISWET4,SCS-3.0,optimal,0.21343779563903809,200,24.98857255514349,25.000112,10002,20002,50004,26.166366,184.014115,0.5603384800846631,1
LISWET5,SCS-3.0,optimal,0.23904013633728027,225,25.012239913055964,25.034253,10002,20002,50004,32.394139,202.132181,0.339698784036705,1
LISWET6,SCS-3.0,optimal,0.26441192626953125,225,24.98322013326606,24.995748,10002,20002,50004,26.602069,234.065547,2.1887436540681593,2
LISWET7,SCS-3.0,optimal,0.21947598457336426,225,24.990492325607647,498.84089,10002,20002,50004,30.437271,185.653954,2.237539627632635,2
LISWET8,SCS-3.0,optimal,0.22002720832824707,225,24.990671603600276,7144.7006,10002,20002,50004,24.623908,192.343772,2.209900527110486,2
LISWET9,SCS-3.0,optimal,0.21643900871276855,225,24.990562956117174,1963.2513,10002,20002,50004,22.518247,191.039248,2.2097656575004323,2
LOTSCHD,SCS-3.0,optimal,0.0008678436279296875,125,2398.3901597981394,2398.4159,12,19,72,0.168146,0.223824,0.1,0
MOSARQP1,SCS-3.0,optimal,0.039216041564941406,200,-952.8756236745608,-952.87544,2500,3200,8512,3.811531,34.115488,0.9529736458776331,1
MOSARQP2,SCS-3.0,optimal,0.0205838680267334,175,-1597.48690745796,-1597.4821,900,1500,4820,3.326694,16.520171,0.9394173516621591,1
POWELL20,SCS-3.0,max_iter_reached,78.99254894256592,100000,inf,52089583000.0,10000,20000,40000,23.601311,78966.431153,8.85001740160008,5
PRIMAL1,SCS-3.0,optimal,0.004016876220703125,25,-0.03505469233096277,-0.035012965,325,410,6464,2.674465,0.901639,0.1,0
PRIMAL2,SCS-3.0,optimal,0.0070950984954833984,25,-0.033733789598628876,-0.033733676,649,745,9339,4.736383,1.762364,0.1,0
PRIMAL3,SCS-3.0,optimal,0.03084588050842285,50,-0.13575418060195152,-0.13575584,745,856,23036,14.250871,15.957959,0.1,0
PRIMAL4,SCS-3.0,optimal,0.022333145141601562,75,-0.745928497262729,-0.74609083,1489,1564,19008,13.932922,7.746339,0.1,0
PRIMALC1,SCS-3.0,optimal,0.006108760833740234,300,-7436.095912237021,-6155.2508,230,239,2529,0.584439,5.051809,0.0009249857248014641,2
PRIMALC2,SCS-3.0,optimal,0.03387188911437988,425,-6034.96852584212,-3551.3077,231,238,2078,0.537812,32.618938,0.0011108016507876924,3
PRIMALC5,SCS-3.0,optimal,0.14527273178100586,7825,-427.25581258049084,-427.23233,287,295,2869,0.709616,134.424742,0.00801153789828279,3
PRIMALC8,SCS-3.0,optimal,0.7666230201721191,24700,-18706.10282548718,-18309.43,520,528,5199,1.15838,764.908227,0.001282306445282018,8
Q25FV47,SCS-3.0,optimal,4.579022169113159,12325,13718401.846364606,13744448.0,1571,2391,130523,31.703352,4541.747003,1.1653436852161472,2
QADLITTL,SCS-3.0,optimal,0.07190704345703125,4850,480206.7612413346,480318.86,97,153,637,0.469866,48.29929,0.1,0
QAFIRO,SCS-3.0,optimal,0.0010459423065185547,125,-1.5886541406899808,-1.5907818,32,59,124,0.181466,0.287137,0.1,0
QBANDM,SCS-3.0,optimal,0.03953099250793457,975,16350.110863962367,16352.342,472,777,3023,1.583351,36.787113,0.1,0
QBEACONF,SCS-3.0,optimal,0.02202010154724121,725,164794.29656947008,164712.06,262,435,3673,2.049714,18.300656,0.004569151131041484,2
QBORE3D,SCS-3.0,optimal,0.046237945556640625,1450,3032.818816166045,3100.2008,315,548,1872,9.510579,36.070773,0.01848055952871215,1
QBRANDY,SCS-3.0,optimal,0.03581690788269043,1400,28384.69771789706,28375.115,249,469,2511,1.045532,34.133131,0.1,0
QCAPRI,SCS-3.0,optimal,0.12005782127380371,3775,45441302.483517915,66793293.0,353,624,3852,1.368171,117.983903,0.32017505069231955,1
QE226,SCS-3.0,optimal,0.11573076248168945,3275,212.49185924693342,212.65343,282,505,4721,16.42752,97.342732,0.1,0
QETAMACR,SCS-3.0,optimal,5.000042915344238,33425,86273.92384039721,86760.37,688,1088,11613,6.761983,4991.787479,3.6080943915753485,3
QFFFFF80,SCS-3.0,optimal,0.6815848350524902,5900,862214.0894487528,873147.47,854,1378,10635,5.530156,674.333817,0.006672532042230576,2
QFORPLAN,SCS-3.0,optimal,0.00739288330078125,75,6632748966.390454,7456631500.0,421,582,6112,2.575415,4.076034,0.1,0
QGFRDXPN,SCS-3.0,optimal,4.124463081359863,65100,75255472353.13924,100790590000.0,1092,1708,3739,2.044874,4121.718524,0.09998744067244443,2
QGROW15,SCS-3.0,max_iter_reached,5.510126113891602,100000,-inf,-101693640.0,645,945,7227,6.915302,5502.583988,0.00010486598391555392,4
QGROW22,SCS-3.0,max_iter_reached,8.110411882400513,100000,-inf,-149628950.0,946,1386,10837,3.220666,8106.487437,3.504036041746008e-06,5
QGROW7,SCS-3.0,max_iter_reached,2.4912657737731934,100000,-inf,-42798714.0,301,441,3597,14.109626,2476.547597,7.889309755863554e-06,7
QISRAEL,SCS-3.0,optimal,0.06995892524719238,3275,25330466.799497753,25347838.0,142,316,3765,13.037977,56.221405,0.08448679118596489,2
QPCBLEND,SCS-3.0,optimal,0.0029408931732177734,325,-0.00919214559272158,-0.0078425409,83,157,657,0.332458,2.293548,3.9642963028499683,2
QPCBOEI1,SCS-3.0,optimal,1.8429880142211914,44625,11503804.452917363,11503914.0,384,735,4253,28.145018,1814.464541,0.7590847376337776,4
QPCBOEI2,SCS-3.0,optimal,0.27320289611816406,16900,7234299.583282119,8171962.3,143,309,1482,23.527589,240.229602,1.1997253981719664,4
QPCSTAIR,SCS-3.0,optimal,0.2613539695739746,5550,6204167.032643672,6204387.5,467,823,4790,1.754968,259.206766,3.7883551037252734,2
QPILOTNO,SCS-3.0,optimal,1.13108491897583,3975,4722045.385824829,4728586.9,2172,3147,16105,25.183332,1104.048716,0.030383227786655767,1
QPTEST,SCS-3.0,optimal,0.023669958114624023,50,4.371875000046983,4.371875,2,4,10,23.053349,0.084712,0.1,0
QRECIPE,SCS-3.0,optimal,0.0035429000854492188,225,-266.6157462867011,-266.616,180,271,923,0.494092,2.384866,0.03142235911288484,1
QSC205,SCS-3.0,optimal,0.0033168792724609375,150,-0.005208328864165153,-0.0058139518,203,408,785,0.478976,2.266393,0.1,0
QSCAGR25,SCS-3.0,optimal,0.5667710304260254,17125,201481395.98660985,201737940.0,500,971,2282,27.992642,538.002633,1.1723963197536194,2
QSCAGR7,SCS-3.0,optimal,0.011358976364135742,1275,26874380.360374413,26865949.0,140,269,602,0.3627,10.424623,0.1,0
QSCFXM1,SCS-3.0,optimal,0.04837989807128906,1125,8744090.417406231,16882692.0,457,787,4456,1.642937,46.023245,0.1,0
QSCFXM2,SCS-3.0,optimal,0.15038490295410156,1675,15400180.5934912,27776162.0,914,1574,8285,3.135248,146.481804,0.1,0
QSCFXM3,SCS-3.0,optimal,0.250032901763916,1850,17378594.960171726,30816355.0,1371,2361,11501,5.164828,244.03091,0.1,0
QSCORPIO,SCS-3.0,optimal,0.19800686836242676,7425,1880.3890790646908,1880.5096,358,746,1842,19.341336,178.054263,3.3011628880269286,1
QSCRS8,SCS-3.0,optimal,1.1331329345703125,16500,905.4292395521163,904.56001,1169,1659,4560,10.26608,1121.86229,5.632447794326795,2
QSCSD1,SCS-3.0,optimal,0.02848672866821289,300,8.667068598684388,8.6666667,760,837,4584,16.167852,11.644584,6.035270236959463,1
QSCSD6,SCS-3.0,optimal,0.08004212379455566,950,50.77683747046981,50.808214,1350,1497,8378,2.796302,76.488133,0.3768567851147633,1
QSCSD8,SCS-3.0,optimal,0.24362802505493164,1625,940.7636674824647,940.76357,2750,3147,16214,5.816869,236.475948,0.1,0
QSCTAP1,SCS-3.0,optimal,0.16431689262390137,5500,1415.8493450981618,1415.8611,480,780,2442,1.003695,162.656315,0.32980201899269573,1
QSCTAP2,SCS-3.0,optimal,0.3347780704498291,2400,1734.9835656392997,1735.0265,1880,2970,10007,17.039697,316.676852,1.1389150351235144,1
QSCTAP3,SCS-3.0,optimal,0.22505497932434082,1100,1438.7667729004233,1438.7547,2480,3960,13262,25.693777,197.985016,0.9436024067879738,1
QSEBA,SCS-3.0,optimal,0.25811195373535156,4475,52497012.75453113,81481801.0,1028,1543,6576,2.373009,254.990074,3.819838698642149,3
QSHARE1B,SCS-3.0,optimal,0.04159832000732422,1750,732712.224046797,720078.32,225,342,1436,14.633737,26.224363,0.0030265833202935727,3
QSHARE2B,SCS-3.0,optimal,0.21638083457946777,22075,11696.195493735657,11703.692,79,175,873,16.232121,181.652922,4.321114930311398,2
QSHELL,SCS-3.0,optimal,0.26477694511413574,1100,1378123583490.725,1572636800000.0,1775,2311,74506,14.002309,247.078149,4.665345310421702,2
QSHIP04L,SCS-3.0,optimal,0.4024171829223633,3750,2419886.49254973,2420015.5,2118,2520,8548,13.538418,387.15318,0.1,0
QSHIP04S,SCS-3.0,optimal,0.42940378189086914,5725,2424966.0341040725,2424993.7,1458,1860,5908,2.984099,425.391364,0.1,0
QSHIP08L,SCS-3.0,optimal,4.5541768074035645,7000,2375899.6640799297,2376040.6,4283,5061,86075,30.275524,4516.124641,0.1,0
QSHIP08S,SCS-3.0,optimal,0.9701130390167236,4875,2385686.3818784696,2385728.9,2387,3165,32317,9.149028,958.817896,0.1,0
QSHIP12L,SCS-3.0,optimal,7.063161849975586,6225,3018822.441410308,3018876.6,5427,6578,144030,42.132013,7010.262577,2.0034708139946034,2
QSHIP12S,SCS-3.0,optimal,1.6151139736175537,6300,3056945.0862529106,3056962.3,2763,3914,44705,12.313524,1599.319221,6.051121337743021,3
QSIERRA,SCS-3.0,optimal,0.21875596046447754,1300,23752055.532496665,23750458.0,2036,3263,9582,4.927643,212.425911,4.194470180142387,3
QSTAIR,SCS-3.0,optimal,0.5133678913116455,9400,7985241.6561712185,7985452.8,467,823,6293,18.835128,493.348779,7.0208312840833855,2
QSTANDAT,SCS-3.0,optimal,0.10960817337036133,1750,6410.704823086343,6411.8384,1075,1434,5576,1.96026,106.891562,0.1,0
S268,SCS-3.0,optimal,0.02554774284362793,25,0.2102842412314203,5.7310705e-07,5,10,55,24.523019,0.151502,0.1,0
STADAT1,SCS-3.0,max_iter_reached,17.660680055618286,100000,-28696282.873966597,-28526864.0,2001,6000,13998,5.289595,17654.27552,10.458217049935374,3
STADAT2,SCS-3.0,max_iter_reached,18.399723052978516,100000,-31.432864437913874,-32.626665,2001,6000,13998,22.792043,18376.002997,0.031616820655371934,1
STADAT3,SCS-3.0,max_iter_reached,38.66723299026489,100000,-34.35061137643872,-35.779453,4001,12000,27998,13.454791,38652.418624,0.007835740839774518,2
STCQP1,SCS-3.0,optimal,0.2319328784942627,475,155129.14485172177,155143.56,4097,6149,66544,23.358767,204.682442,11.263065082119859,2
STCQP2,SCS-3.0,optimal,0.41298413276672363,525,22324.48607722565,22327.313,4097,6149,66544,37.875473,370.946672,1.157754184680226,1
TAME,SCS-3.0,optimal,0.007206916809082031,25,7.113834741526567e-33,0.0,2,3,8,6.172867,0.124586,0.1,0
UBH1,SCS-3.0,optimal,3.4577620029449463,2700,17.361948726457353,1.1160008,18009,30009,72012,39.573138,3413.43148,0.0028141648098460475,3
VALUES,SCS-3.0,optimal,0.007142066955566406,100,-1.3964856354706625,-1.3966211,202,203,7846,4.437973,1.540011,0.1,0
YAO,SCS-3.0,optimal,2.9901058673858643,21525,6.900419203522006,197.70426,2002,4002,10004,4.311909,2984.807985,2.7068414654395156,2
ZECEVIC2,SCS-3.0,optimal,0.00044608116149902344,25,-4.124171198522052,-4.125,2,4,7,0.085722,0.087576,0.1,0
